measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year_start,year_end,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),102,United States of America,1,Male,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.3076108586326009,-0.29167584137712177,-0.3302871599779008
2,DALYs (Disability-Adjusted Life Years),102,United States of America,2,Female,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.18060984706295963,-0.15866342440293943,-0.20508842006189204
2,DALYs (Disability-Adjusted Life Years),102,United States of America,3,Both,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.2679101347625475,-0.2511992783763201,-0.28720243525533123
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,1,Male,27,Age-standardized,294,All causes,3,Rate,1990,2019,-0.34308909804455195,-0.31545868378320957,-0.37331141703297255
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,2,Female,27,Age-standardized,294,All causes,3,Rate,1990,2019,-0.272456737801091,-0.2415710199379865,-0.3093355583173535
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,2019,-0.3075341698093876,-0.27825902555668924,-0.3410953993982724
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,1,Male,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,2019,-0.5200327856115756,-0.4876839571226264,-0.5526135951342825
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,2,Female,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,2019,-0.5185749854877625,-0.47661031342512167,-0.5593579256514353
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,2019,-0.517192722786637,-0.4832999439206258,-0.5512070127642639
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,1,Male,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.30950194913222384,-0.2784772414315591,-0.3436178310539274
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,2,Female,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.2384733699030014,-0.2065430017333575,-0.27657400752061684
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.2719996130105634,-0.2404540448623022,-0.3078831179378709
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,1,Male,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.3977900983199799,-0.36719358559976,-0.4407744668304306
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,2,Female,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.3054779431947158,-0.2675879336240986,-0.3451145635899149
2,DALYs (Disability-Adjusted Life Years),65,High-income Asia Pacific,3,Both,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.3651780971534665,-0.33190584179485816,-0.40498947088912995
2,DALYs (Disability-Adjusted Life Years),70,Australasia,1,Male,27,Age-standardized,294,All causes,3,Rate,1990,2019,-0.3026097475276537,-0.2730024669799518,-0.3354348061868312
2,DALYs (Disability-Adjusted Life Years),70,Australasia,2,Female,27,Age-standardized,294,All causes,3,Rate,1990,2019,-0.19817575567375523,-0.16898272036373768,-0.23095863421292848
2,DALYs (Disability-Adjusted Life Years),70,Australasia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,2019,-0.2520695130895117,-0.22195932091512463,-0.2853049735785971
2,DALYs (Disability-Adjusted Life Years),70,Australasia,1,Male,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,2019,-0.44644891347425186,-0.3863733241840045,-0.501480931504208
2,DALYs (Disability-Adjusted Life Years),70,Australasia,2,Female,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,2019,-0.33665869905596774,-0.2731386424791039,-0.3970342178565795
2,DALYs (Disability-Adjusted Life Years),70,Australasia,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,2019,-0.3959357016793482,-0.33871548664333767,-0.45040122436406105
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,1,Male,27,Age-standardized,294,All causes,3,Rate,1990,2019,-0.3177704233870635,-0.28959132296182083,-0.34696442723063114
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,2,Female,27,Age-standardized,294,All causes,3,Rate,1990,2019,-0.19904891191645163,-0.17140954354417984,-0.2308061861192891
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,2019,-0.25855776496107435,-0.22933734335575753,-0.2903539094206236
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,1,Male,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,2019,-0.4459335211801654,-0.40207100458431705,-0.4925946000299469
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,2,Female,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,2019,-0.3624175481268128,-0.3216055625764456,-0.41300350192112195
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,2019,-0.4083153983685086,-0.36563451152479803,-0.45437233315379116
2,DALYs (Disability-Adjusted Life Years),70,Australasia,1,Male,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.2907766042911613,-0.2620264250286122,-0.3243062249452165
2,DALYs (Disability-Adjusted Life Years),70,Australasia,2,Female,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.18775655596569646,-0.1583706407675963,-0.2209751555168188
2,DALYs (Disability-Adjusted Life Years),70,Australasia,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.23705554284743788,-0.20749090095017853,-0.2713446455742706
2,DALYs (Disability-Adjusted Life Years),70,Australasia,1,Male,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.30631349919932166,-0.26604993626800616,-0.344656724313253
2,DALYs (Disability-Adjusted Life Years),70,Australasia,2,Female,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.20231675396196475,-0.1612765433932472,-0.2474464138404715
2,DALYs (Disability-Adjusted Life Years),70,Australasia,3,Both,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.2761676424822506,-0.2379115521658929,-0.31726644211296096
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,1,Male,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.28600021565052913,-0.25837735563459663,-0.3168771789237878
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,2,Female,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.17393187162841076,-0.14829400512849022,-0.20515938197234854
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.22574836894439496,-0.19809197935252512,-0.2575838088284041
2,DALYs (Disability-Adjusted Life Years),101,Canada,1,Male,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.22271564521744106,-0.1931917272707513,-0.25458231696451455
2,DALYs (Disability-Adjusted Life Years),101,Canada,2,Female,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.11592626325712638,-0.0900853838754986,-0.14601641125291745
2,DALYs (Disability-Adjusted Life Years),101,Canada,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,2019,-0.16542834281753382,-0.1385271223036645,-0.19632903630177653
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,1,Male,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.43274410543518144,-0.4026655645987097,-0.4620175326881695
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,2,Female,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.33254361355949363,-0.28622814451530243,-0.37989876824188007
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,3,Both,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.40126570658068184,-0.36645446003819165,-0.4357126073728639
2,DALYs (Disability-Adjusted Life Years),101,Canada,1,Male,27,Age-standardized,687,Injuries,3,Rate,1990,2019,-0.3563988822940353,-0.3301333020916452,-0.3814271702776957
